"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
13,1,1.2951,1.20259,0.0925069
29,1,3.50058,3.3839,0.116686
7,2,1.01925,0.792752,0.226501
20,1,1.1212,1.06781,0.0533903
2,2,0.317712,0.158856,0.158856
95,86,4.89586,2.56965,2.32621
10,6,0.477612,0.298507,0.179104
22,21,1.65767,0.848111,0.809561
1,0,0.113507,0.113507,0
26,0,2.17573,2.17573,0
16,2,1.48148,1.31687,0.164609
72,1,8.44907,8.33333,0.115741
12,1,1.41458,1.30577,0.108814
25,4,1.52471,1.31441,0.210305
7,2,0.704777,0.54816,0.156617
108,90,4.79071,2.61311,2.17759
22,14,1.03986,0.635471,0.404391
45,27,2.38885,1.49303,0.89582
6,3,0.943396,0.628931,0.314465
19,1,1.71969,1.63371,0.0859845
15,1,1.30826,1.22649,0.0817661
88,1,8.78578,8.68707,0.0987167
8,4,1.31148,0.874317,0.437158
39,3,2.24359,2.08333,0.160256
12,4,1.30187,0.976404,0.325468
149,118,6.40749,3.57571,2.83177
37,9,1.39436,1.12155,0.27281
39,21,2.20022,1.43014,0.770077
13,2,1.70261,1.4756,0.227015
30,1,2.59631,2.51256,0.0837521
26,6,2.72805,2.21654,0.511509
98,1,9.31326,9.21919,0.0940734
29,3,2.81938,2.55507,0.264317
69,14,3.58531,2.98056,0.604752
23,6,1.945,1.54259,0.402414
154,108,5.84691,3.43673,2.41018
36,13,1.21227,0.890648,0.321623
35,27,2.01626,1.13821,0.878049
20,3,2.29084,1.99203,0.298805
49,0,3.48259,3.48259,0
37,8,2.94889,2.42464,0.524246
80,1,7.5985,7.50469,0.0938086
18,5,2.20729,1.72745,0.479846
62,2,3.65714,3.54286,0.114286
31,5,2.38727,2.0557,0.331565
223,102,7.30501,5.01236,2.29265
73,20,2.33258,1.83095,0.50163
56,31,3.10825,2.00071,1.10754
18,1,1.76252,1.66976,0.0927644
60,4,4.58125,4.29492,0.286328
55,10,4.54228,3.84347,0.698812
100,0,8.90472,8.90472,0
40,4,3.94619,3.58744,0.358744
146,8,6.44891,6.1139,0.335008
52,3,3.45261,3.26428,0.188324
401,135,11.0175,8.24255,2.77492
101,19,2.84495,2.3945,0.45045
138,28,4.70922,3.91489,0.794326
