"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
113,6,11.02,10.46,0.56
273,20,11.72,10.92,0.8
38,45,20.24,9.27,10.98
267,232,11.25,6.01,5.22
206,51,38.36,30.75,7.61
250,115,13.06,8.95,4.12
X,X,X,X,X
X,X,X,X,X
580,70,22.5,20.08,2.42
1374,194,25.73,22.55,3.18
1853,121,19.62,18.42,1.2
952,388,20.72,14.72,6
97,24,21.3,17.08,4.23
1916,407,18.87,15.56,3.31
79,39,8.62,5.77,2.85
311,42,11.83,10.42,1.41
391,33,27.09,24.98,2.11
X,X,X,X,X
555,240,28.57,19.94,8.62
1,1,2.3,1.15,1.15
33,30,19.38,10.15,9.23
1882,1012,24.19,15.73,8.46
X,X,X,X,X
88,8,13.06,11.97,1.09
362,23,18.28,17.19,1.09
431,64,10.09,8.79,1.3
97,72,8.5,4.88,3.62
2472,171,17.05,15.95,1.1
9,0,26.47,26.47,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
79,65,20.81,11.42,9.39
X,X,X,X,X
21,0,8.27,8.27,0
87,86,27.9,14.03,13.87
3132,255,12.87,11.9,0.97
337,220,21.85,13.22,8.63
285,19,9.74,9.13,0.61
X,X,X,X,X
X,X,X,X,X
53,24,13.12,9.03,4.09
220,142,8.15,4.95,3.2
225,21,8.21,7.51,0.7
83,19,17.06,13.88,3.18
21,8,12.66,9.17,3.49
30,16,8.75,5.7,3.04
313,81,15.66,12.44,3.22
65,2,8.86,8.6,0.26
68,76,12.89,6.09,6.8
25,17,24.85,14.79,10.06
199,7,10.89,10.52,0.37
135,13,18.09,16.5,1.59
466,48,14.77,13.39,1.38
70,5,7.18,6.7,0.48
214,15,8.96,8.37,0.59
43,32,16.93,9.71,7.22
205,147,8.86,5.1,3.66
184,34,35.05,29.58,5.47
242,111,13.84,9.49,4.35
X,X,X,X,X
X,X,X,X,X
429,42,14.66,13.35,1.31
X,X,X,X,X
1129,83,12.99,12.1,0.89
541,267,15.1,10.11,4.99
76,10,15.22,13.45,1.77
1024,357,13.32,9.88,3.44
93,57,12.68,7.86,4.82
280,34,11.34,10.12,1.23
233,32,19.02,16.73,2.3
X,X,X,X,X
312,148,19.3,13.09,6.21
5,1,4.84,4.03,0.81
18,20,15.77,7.47,8.3
1661,824,23.17,15.49,7.68
X,X,X,X,X
75,4,10.44,9.91,0.53
201,30,11.58,10.08,1.5
517,87,9.79,8.38,1.41
30,20,7.74,4.64,3.1
1916,185,13.49,12.3,1.19
4,1,17.86,14.29,3.57
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
29,37,13.12,5.77,7.36
X,X,X,X,X
82,24,20.04,15.5,4.54
257,108,42.05,29.61,12.44
2361,241,10.7,9.7,0.99
308,180,20.45,12.91,7.54
256,15,9.95,9.4,0.55
X,X,X,X,X
X,X,X,X,X
47,8,10.09,8.62,1.47
380,292,18.98,10.73,8.25
143,20,5.94,5.21,0.73
44,14,12.72,9.65,3.07
80,15,13.71,11.54,2.16
21,17,8.21,4.54,3.67
302,66,16.96,13.92,3.04
88,7,13.97,12.94,1.03
97,95,17.83,9.01,8.82
9,12,20.79,8.91,11.88
190,6,12.25,11.88,0.38
75,18,14.31,11.54,2.77
411,53,14.5,12.84,1.66
70,5,8.81,8.23,0.59
227,31,10.2,8.98,1.23
35,15,13.93,9.75,4.18
231,181,11.62,6.5,5.09
153,38,33.39,26.75,6.64
217,97,14.97,10.35,4.63
X,X,X,X,X
X,X,X,X,X
340,52,14.65,12.71,1.94
648,166,17.02,13.55,3.47
1041,97,12.48,11.41,1.06
348,163,11.13,7.58,3.55
69,13,16.67,14.02,2.64
1124,396,14.34,10.61,3.74
114,63,15.17,9.77,5.4
247,25,10.62,9.64,0.98
194,17,18.35,16.87,1.48
X,X,X,X,X
162,75,12.14,8.29,3.84
2,3,6.49,2.6,3.9
13,13,11.98,5.99,5.99
1549,712,21.99,15.06,6.92
X,X,X,X,X
74,0,11.99,11.99,0
183,36,11.93,9.97,1.96
404,73,8.45,7.16,1.29
34,26,10.26,5.81,4.44
1693,177,14.84,13.43,1.4
11,1,31.58,28.95,2.63
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
52,23,13.84,9.59,4.24
X,X,X,X,X
97,53,22.35,14.46,7.9
191,84,45.99,31.94,14.05
2335,309,11.98,10.58,1.4
210,172,19.21,10.56,8.65
246,20,11.82,10.93,0.89
X,X,X,X,X
X,X,X,X,X
55,12,13.24,10.87,2.37
324,315,18.74,9.5,9.24
125,28,6.3,5.15,1.15
47,18,15.29,11.06,4.24
55,13,13.41,10.85,2.56
24,14,10.83,6.84,3.99
268,116,20.13,14.05,6.08
78,7,13.56,12.44,1.12
69,51,14.98,8.61,6.37
10,2,17.91,14.93,2.99
183,8,13.98,13.4,0.59
54,50,21.85,11.34,10.5
372,46,14.7,13.08,1.62
61,2,8.51,8.24,0.27
277,28,17.6,15.98,1.62
18,7,9.96,7.17,2.79
183,117,9.98,6.01,3.84
94,33,25.05,18.54,6.51
161,109,15.78,9.41,6.37
X,X,X,X,X
X,X,X,X,X
249,26,12.64,11.45,1.2
642,231,17.69,13.01,4.68
816,101,11.8,10.5,1.3
212,201,10.26,5.27,5
150,18,25.89,23.11,2.77
1047,536,17.97,11.89,6.09
115,97,18.84,10.22,8.62
227,28,10.39,9.25,1.14
142,34,17.69,14.27,3.42
X,X,X,X,X
132,68,11.83,7.81,4.02
5,0,7.04,7.04,0
13,9,14.57,8.61,5.96
1773,752,25.16,17.67,7.49
X,X,X,X,X
87,3,13.6,13.14,0.45
148,29,12,10.03,1.97
399,67,8.7,7.45,1.25
30,33,13.43,6.4,7.04
1421,212,14.61,12.71,1.9
2,2,18.18,9.09,9.09
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
57,17,12.91,9.95,2.97
X,X,X,X,X
131,72,25.86,16.69,9.17
253,60,39.82,32.19,7.63
1714,360,9.71,8.02,1.68
201,161,17.53,9.73,7.8
318,18,13.94,13.19,0.75
X,X,X,X,X
X,X,X,X,X
42,7,8.35,7.16,1.19
333,389,18.56,8.56,10
102,24,5.46,4.42,1.04
58,22,18.1,13.12,4.98
55,21,14.5,10.5,4.01
34,22,13.79,8.37,5.42
343,101,20.75,16.03,4.72
77,17,14.29,11.7,2.58
81,55,15.53,9.25,6.28
10,0,12.66,12.66,0
230,2,17.38,17.23,0.15
77,17,19.03,15.59,3.44
381,45,15.04,13.45,1.59
75,3,9.95,9.57,0.38
327,43,15.35,13.57,1.78
16,14,10.87,5.8,5.07
193,155,10.99,6.09,4.89
105,37,26.89,19.89,7.01
214,168,18.58,10.41,8.17
X,X,X,X,X
X,X,X,X,X
154,11,13.75,12.83,0.92
677,338,19.46,12.98,6.48
729,146,11.69,9.74,1.95
213,227,10.98,5.32,5.67
131,21,27.49,23.69,3.8
1185,742,20.65,12.7,7.95
165,142,22.77,12.24,10.53
207,28,10.26,9.04,1.22
136,35,17.59,13.99,3.6
X,X,X,X,X
199,82,14.28,10.11,4.17
4,0,4.65,4.65,0
11,5,10.81,7.43,3.38
2856,1185,29.84,21.09,8.75
X,X,X,X,X
70,2,11.96,11.63,0.33
128,52,10.4,7.39,3
436,74,9.29,7.94,1.35
23,22,9.53,4.87,4.66
1373,325,17.04,13.78,3.26
9,12,38.89,16.67,22.22
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
43,10,9.48,7.69,1.79
X,X,X,X,X
78,54,16.48,9.74,6.74
300,68,66.07,53.86,12.21
1259,367,8.15,6.31,1.84
214,161,18.42,10.51,7.91
296,22,12.57,11.7,0.87
X,X,X,X,X
X,X,X,X,X
44,7,9.36,8.07,1.28
247,374,17.15,6.82,10.33
101,31,5.86,4.48,1.38
43,23,14.7,9.58,5.12
61,37,15.63,9.73,5.9
38,22,15.5,9.82,5.68
365,129,22.06,16.3,5.76
132,50,21.21,15.38,5.83
74,44,14.53,9.11,5.42
7,4,12.22,7.78,4.44
309,5,20.43,20.1,0.33
31,36,15.99,7.4,8.59
376,67,16.54,14.04,2.5
69,16,10.61,8.61,2
332,57,16.53,14.1,2.42
12,12,10.17,5.08,5.08
263,247,14.9,7.69,7.22
52,48,20.58,10.7,9.88
378,347,27.41,14.29,13.12
X,X,X,X,X
X,X,X,X,X
186,42,11.2,9.14,2.06
451,455,17.61,8.76,8.84
653,181,11.48,8.99,2.49
145,151,7.71,3.78,3.93
116,38,26.32,19.83,6.5
1291,1034,23.13,12.84,10.28
163,196,25.12,11.41,13.72
154,36,8.66,7.02,1.64
134,59,18.94,13.15,5.79
X,X,X,X,X
141,63,10.81,7.47,3.34
1,0,1.22,1.22,0
10,6,10.46,6.54,3.92
2845,1492,28.56,18.74,9.83
X,X,X,X,X
48,5,8.98,8.14,0.85
113,70,11.04,6.82,4.22
394,54,8.57,7.53,1.03
24,37,14.22,5.59,8.62
1482,506,16.65,12.41,4.24
6,19,53.19,12.77,40.43
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
40,15,9.14,6.64,2.49
X,X,X,X,X
37,48,12.63,5.5,7.13
303,65,44.61,36.73,7.88
801,308,6.51,4.7,1.81
196,185,18.23,9.35,8.83
319,37,15.35,13.76,1.6
X,X,X,X,X
X,X,X,X,X
36,6,7.53,6.45,1.08
235,343,17.76,7.22,10.54
104,24,3.61,2.93,0.68
39,27,13.44,7.94,5.5
52,32,11.98,7.42,4.56
38,22,13.76,8.72,5.05
426,224,25.77,16.89,8.88
124,104,22.8,12.4,10.4
109,33,16.03,12.3,3.72
12,3,14.42,11.54,2.88
307,6,20.15,19.77,0.39
35,43,16.12,7.23,8.88
382,91,16.49,13.32,3.17
91,26,13.7,10.66,3.04
291,74,15.4,12.28,3.12
11,12,6.28,3.01,3.28
271,323,16.05,7.32,8.73
59,26,19.68,13.66,6.02
434,432,28.55,14.31,14.24
X,X,X,X,X
X,X,X,X,X
159,41,10.68,8.49,2.19
416,481,16.75,7.77,8.98
665,253,12.12,8.78,3.34
133,226,9.49,3.52,5.98
76,73,27.34,13.94,13.39
1584,1359,26.53,14.28,12.25
121,222,22.87,8.07,14.8
124,45,7.29,5.35,1.94
171,103,21.94,13.69,8.25
X,X,X,X,X
125,41,8.77,6.61,2.17
10,3,15.66,12.05,3.61
11,10,13.64,7.14,6.49
1707,1227,21.76,12.66,9.1
X,X,X,X,X
80,7,12.5,11.49,1.01
164,112,15.71,9.33,6.37
330,59,7.9,6.7,1.2
26,40,11.36,4.48,6.88
1441,694,17.5,11.81,5.69
9,19,35,11.25,23.75
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
36,7,7.45,6.24,1.21
X,X,X,X,X
19,39,8.66,2.84,5.82
261,73,44.3,34.62,9.68
873,411,6.79,4.61,2.17
128,138,15.24,7.34,7.91
253,18,12.84,11.98,0.85
X,X,X,X,X
X,X,X,X,X
38,5,8.9,7.87,1.04
165,265,14.99,5.75,9.24
99,30,5.59,4.29,1.3
24,29,11.86,5.37,6.49
43,54,15.82,7.01,8.81
38,33,18.3,9.79,8.51
432,246,27.07,17.25,9.82
133,115,23.85,12.79,11.06
81,47,15.38,9.74,5.65
14,4,19.15,14.89,4.26
302,8,19.97,19.46,0.52
44,60,17.93,7.59,10.34
368,121,17.56,13.22,4.35
85,18,13.24,10.93,2.31
296,87,15.49,11.97,3.52
12,6,6.5,4.33,2.17
314,339,18.2,8.75,9.45
66,40,21.46,13.36,8.1
460,446,29.71,15.09,14.63
X,X,X,X,X
X,X,X,X,X
121,30,11.39,9.13,2.26
319,595,17.16,5.99,11.17
691,330,13.72,9.29,4.43
112,180,7.76,2.98,4.78
54,60,22.8,10.8,12
1502,1472,27.11,13.69,13.42
122,201,23.53,8.89,14.64
140,69,8.86,5.93,2.92
160,116,23.25,13.48,9.77
X,X,X,X,X
32,7,2.03,1.67,0.36
3,3,7.32,3.66,3.66
5,1,3.64,3.03,0.61
1161,850,17.73,10.24,7.49
X,X,X,X,X
100,8,16.19,14.99,1.2
116,143,14.71,6.59,8.12
265,61,6.82,5.54,1.28
39,49,14.77,6.54,8.22
1489,827,18.69,12.01,6.67
3,16,48.72,7.69,41.03
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
31,7,7.62,6.21,1.4
X,X,X,X,X
21,43,9.89,3.25,6.65
215,83,36.65,26.45,10.21
625,384,5.71,3.54,2.17
145,145,16.61,8.3,8.3
247,46,14.25,12.01,2.24
X,X,X,X,X
X,X,X,X,X
30,2,6.67,6.25,0.42
130,201,12.11,4.75,7.35
102,28,5.53,4.34,1.19
48,16,12.75,9.56,3.19
47,58,17.59,7.87,9.72
22,23,11.75,5.74,6.01
398,290,26.21,15.16,11.05
120,169,26.08,10.83,15.25
58,49,13.11,7.11,6
9,0,12,12,0
216,15,17.71,16.56,1.15
32,72,21.58,6.64,14.94
331,106,15.82,11.98,3.84
112,27,15.44,12.44,3
259,117,16.41,11.31,5.11
12,8,7.25,4.35,2.9
396,336,19.18,10.37,8.8
30,20,12.08,7.25,4.83
501,516,34.84,17.16,17.68
X,X,X,X,X
X,X,X,X,X
165,58,11.93,8.82,3.1
254,600,16.31,4.85,11.46
610,344,13.66,8.73,4.92
95,147,6.59,2.59,4.01
56,54,24.44,12.44,12
1552,1606,27.97,13.75,14.23
143,212,24.43,9.84,14.59
113,104,8.82,4.59,4.23
114,145,21.73,9.56,12.16
X,X,X,X,X
90,42,7.04,4.8,2.24
4,3,8.05,4.6,3.45
5,14,12.03,3.16,8.86
888,673,14.71,8.37,6.34
X,X,X,X,X
88,17,17.02,14.26,2.76
112,154,14.46,6.09,8.37
232,61,6.19,4.9,1.29
43,44,15.26,7.54,7.72
1406,1125,20.38,11.32,9.06
3,13,39.02,7.32,31.71
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
16,11,6.21,3.68,2.53
X,X,X,X,X
13,47,9.19,1.99,7.2
161,55,33.96,25.31,8.65
568,361,5.77,3.53,2.24
118,110,13.11,6.79,6.33
268,61,15.25,12.42,2.83
X,X,X,X,X
X,X,X,X,X
22,3,4.7,4.14,0.56
92,152,9.92,3.74,6.18
93,26,5.5,4.3,1.2
35,19,11.2,7.26,3.94
43,56,16.47,7.15,9.32
21,29,15.34,6.44,8.9
392,280,27.25,15.9,11.35
X,X,X,X,X
73,47,14.51,8.83,5.68
4,1,7.04,5.63,1.41
158,14,14.21,13.06,1.16
45,52,17.64,8.18,9.45
330,96,15.84,12.27,3.57
89,48,15.41,10.01,5.4
177,124,12.8,7.53,5.27
10,9,7.98,4.2,3.78
301,198,20.76,12.52,8.24
41,22,14.96,9.74,5.23
571,540,33.86,17.4,16.46
X,X,X,X,X
X,X,X,X,X
149,61,10.4,7.38,3.02
214,590,15.5,4.13,11.37
535,290,12.56,8.14,4.41
118,122,6.92,3.4,3.52
56,36,20.31,12.36,7.95
1539,1466,28.56,14.63,13.93
88,165,19.49,6.78,12.71
119,93,8.93,5.01,3.92
100,158,22.97,8.9,14.07
X,X,X,X,X
95,4,5.51,5.29,0.22
4,6,11.76,4.71,7.06
11,7,12,7.33,4.67
622,495,11.84,6.59,5.25
X,X,X,X,X
83,12,16.87,14.74,2.13
97,145,13.94,5.59,8.35
191,59,5.5,4.2,1.3
47,50,16.96,8.22,8.74
1215,1306,21.36,10.3,11.07
3,7,28.57,8.57,20
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
21,2,5.69,5.2,0.5
X,X,X,X,X
7,42,8.46,1.21,7.25
100,58,27.62,17.48,10.14
535,333,5.27,3.25,2.02
90,95,11.34,5.52,5.82
235,80,15.81,11.79,4.01
X,X,X,X,X
X,X,X,X,X
30,3,6.21,5.65,0.56
94,87,9.34,4.85,4.49
53,19,3.52,2.59,0.93
25,16,10.57,6.44,4.12
44,70,18.84,7.27,11.57
23,16,11.21,6.61,4.6
326,242,27.43,15.74,11.69
X,X,X,X,X
45,41,13.4,7.01,6.39
6,2,10,7.5,2.5
128,19,12.59,10.96,1.63
30,43,14.84,6.1,8.74
289,89,15.98,12.22,3.76
75,48,13.41,8.18,5.23
159,190,15.19,6.92,8.27
9,3,6.15,4.62,1.54
255,164,20.19,12.29,7.9
23,19,10.5,5.75,4.75
433,474,33.94,16.21,17.74
X,X,X,X,X
X,X,X,X,X
143,64,10.4,7.18,3.21
209,634,16.56,4.11,12.45
397,286,11.93,6.93,5
94,100,5.88,2.85,3.03
36,43,18.85,8.59,10.26
1342,1134,26.03,14.11,11.92
104,152,21.12,8.58,12.54
133,118,10.54,5.59,4.96
117,129,22.84,10.86,11.98
X,X,X,X,X
71,24,5.58,4.17,1.41
6,6,11.88,5.94,5.94
12,9,13.91,7.95,5.96
521,439,10.89,5.91,4.98
X,X,X,X,X
99,11,16.72,15.05,1.67
77,150,13.73,4.66,9.07
195,41,5.27,4.36,0.92
32,34,12.55,6.08,6.46
1140,1363,22.21,10.11,12.09
3,5,22.22,8.33,13.89
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
14,4,4.09,3.18,0.91
X,X,X,X,X
10,45,9.93,1.81,8.12
76,39,20.95,13.84,7.1
454,355,5.05,2.83,2.22
82,63,9.55,5.4,4.15
136,58,10.34,7.25,3.09
X,X,X,X,X
X,X,X,X,X
25,5,6.61,5.51,1.1
60,52,5.54,2.97,2.57
52,21,3.92,2.79,1.13
27,14,9.45,6.22,3.23
29,55,13.66,4.72,8.94
15,16,10.37,5.02,5.35
243,177,22.78,13.18,9.6
X,X,X,X,X
22,24,7.58,3.62,3.95
1,1,2.86,1.43,1.43
78,27,10.08,7.49,2.59
24,28,12.06,5.57,6.5
188,75,10.85,7.75,3.09
62,58,14.15,7.31,6.84
151,199,15.34,6.62,8.72
3,2,2.67,1.6,1.07
218,194,13.59,7.19,6.4
21,27,12.73,5.57,7.16
425,446,32,15.61,16.39
X,X,X,X,X
X,X,X,X,X
44,28,5.54,3.38,2.15
186,622,16.27,3.75,12.53
301,239,10.07,5.61,4.46
46,56,3.6,1.62,1.97
41,52,22.09,9.74,12.35
763,722,18.36,9.43,8.93
83,85,14.19,7.01,7.18
146,124,10.94,5.92,5.02
73,120,18.24,6.9,11.34
X,X,X,X,X
45,24,4.5,2.93,1.56
6,5,13.25,7.23,6.02
6,2,5.33,4,1.33
370,223,7.74,4.83,2.91
X,X,X,X,X
37,7,10.53,8.85,1.67
29,101,8.9,1.99,6.92
261,78,7.33,5.64,1.69
12,18,7.58,3.03,4.55
918,1347,20.83,8.44,12.39
1,1,6.45,3.23,3.23
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
23,4,7.28,6.2,1.08
X,X,X,X,X
10,34,10.19,2.31,7.87
20,19,9.77,5.01,4.76
440,374,5.31,2.87,2.44
64,48,7.73,4.42,3.31
119,66,10.33,6.64,3.69
X,X,X,X,X
X,X,X,X,X
23,1,6.25,5.99,0.26
62,46,5.88,3.38,2.51
62,18,4.17,3.23,0.94
15,10,6.7,4.02,2.68
19,50,12.02,3.31,8.71
15,9,7.62,4.76,2.86
153,132,17.43,9.36,8.07
X,X,X,X,X
23,21,6.33,3.31,3.02
2,1,3.8,2.53,1.27
73,26,9.62,7.09,2.53
19,16,8.43,4.58,3.86
167,82,10.68,7.16,3.52
41,50,10.78,4.86,5.92
130,196,14.84,5.92,8.92
4,4,3.74,1.87,1.87
128,103,8.79,4.87,3.92
10,18,8.33,2.98,5.36
339,275,26.52,14.64,11.88
X,X,X,X,X
X,X,X,X,X
14,17,9.72,4.39,5.33
195,474,13.86,4.04,9.82
256,231,9.4,4.94,4.46
40,43,3,1.44,1.55
29,35,17.3,7.84,9.46
612,479,14.98,8.41,6.58
44,47,10.19,4.93,5.26
192,124,13.5,8.2,5.3
49,85,13.62,4.98,8.64
X,X,X,X,X
47,10,3.66,3.02,0.64
5,7,11.11,4.63,6.48
5,3,11.11,6.94,4.17
311,132,6.26,4.39,1.86
X,X,X,X,X
45,4,10.84,9.96,0.88
30,67,6.83,2.11,4.71
199,50,5.71,4.56,1.15
16,40,10.85,3.1,7.75
708,1155,18.9,7.18,11.72
0,1,4.35,0,4.35
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
28,1,7.32,7.07,0.25
X,X,X,X,X
8,16,5.15,1.72,3.43
17,17,9.8,4.9,4.9
342,294,4.47,2.4,2.07
57,26,6.16,4.23,1.93
96,87,10.24,5.37,4.87
X,X,X,X,X
X,X,X,X,X
12,1,3.13,2.88,0.24
9,7,1.37,0.77,0.6
49,20,3.8,2.7,1.1
17,11,7.65,4.64,3.01
39,60,20.37,8.02,12.35
14,6,6.67,4.67,2
120,121,16.51,8.22,8.29
X,X,X,X,X
33,15,6.97,4.79,2.18
0,3,4.35,0,4.35
58,23,8.66,6.2,2.46
20,13,9.35,5.67,3.68
130,89,9.25,5.49,3.76
41,42,11.32,5.59,5.73
78,146,11.59,4.04,7.55
4,7,4.93,1.79,3.14
137,104,9.17,5.22,3.96
17,10,9.68,6.09,3.58
323,217,25.01,14.96,10.05
X,X,X,X,X
X,X,X,X,X
87,29,7.19,5.39,1.8
139,346,11.16,3.2,7.96
244,320,11.03,4.77,6.26
48,26,3.01,1.95,1.06
18,29,13.09,5.01,8.08
537,332,13,8.03,4.96
40,43,8.87,4.27,4.59
154,103,12.11,7.25,4.85
43,83,13.59,4.64,8.95
X,X,X,X,X
23,15,2.59,1.57,1.02
4,6,12.5,5,7.5
3,2,4.76,2.86,1.9
219,110,4.81,3.2,1.61
X,X,X,X,X
32,11,10.57,7.86,2.7
34,54,6.61,2.55,4.05
134,58,4.53,3.16,1.37
17,15,6.54,3.48,3.07
567,956,16.11,6,10.11
0,1,5.56,0,5.56
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
17,2,5,4.47,0.53
X,X,X,X,X
4,11,3.9,1.04,2.86
12,7,6.44,4.07,2.37
324,253,4.27,2.4,1.87
38,20,4.48,2.93,1.54
82,73,8.82,4.67,4.15
X,X,X,X,X
X,X,X,X,X
15,1,4.05,3.8,0.25
32,18,3.15,2.01,1.13
48,21,4.04,2.81,1.23
10,12,6.53,2.97,3.56
32,37,13.8,6.4,7.4
10,8,5.94,3.3,2.64
136,92,14.11,8.42,5.69
X,X,X,X,X
19,10,4.64,3.04,1.6
1,1,2.63,1.32,1.32
50,15,7.21,5.54,1.66
29,17,12.57,7.92,4.64
134,95,10.16,5.95,4.22
36,47,10.27,4.46,5.82
73,126,11.21,4.11,7.1
8,8,8.47,4.23,4.23
76,32,8.11,5.71,2.4
8,15,8.95,3.11,5.84
314,199,23.96,14.67,9.29
X,X,X,X,X
X,X,X,X,X
53,29,5.06,3.27,1.79
99,210,7.79,2.5,5.29
198,241,8.88,4,4.87
44,10,2.39,1.95,0.44
14,33,13.58,4.05,9.54
371,219,9.34,5.87,3.47
35,24,6.76,4.01,2.75
99,66,8.43,5.06,3.37
50,55,11.86,5.65,6.21
X,X,X,X,X
28,8,2.88,2.24,0.64
9,3,13.04,9.78,3.26
0,2,1.72,0,1.72
153,74,3.38,2.28,1.1
X,X,X,X,X
25,5,7.19,6,1.2
20,54,5.52,1.49,4.03
100,47,3.63,2.47,1.16
48,20,6.76,4.77,1.99
382,700,12.54,4.43,8.11
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
7,1,2.06,1.8,0.26
X,X,X,X,X
8,10,4.37,1.94,2.43
10,8,4.83,2.68,2.14
335,257,4.34,2.46,1.89
69,21,6.59,5.05,1.54
73,73,8.69,4.34,4.34
X,X,X,X,X
X,X,X,X,X
6,1,1.7,1.46,0.24
11,8,1.35,0.78,0.57
38,15,2.88,2.07,0.82
2,7,2.82,0.63,2.19
18,20,8.32,3.94,4.38
5,3,3.31,2.07,1.24
85,64,10.12,5.77,4.35
X,X,X,X,X
14,3,2.72,2.24,0.48
0,0,0,0,0
55,23,8.38,5.91,2.47
12,7,5.72,3.61,2.11
85,89,7.72,3.77,3.95
20,28,6.5,2.71,3.79
45,91,7.59,2.51,5.08
6,4,5.85,3.51,2.34
67,14,5.66,4.68,0.98
2,8,4.57,0.91,3.65
197,117,19.76,12.4,7.36
X,X,X,X,X
X,X,X,X,X
28,11,4.14,2.98,1.17
51,188,6.22,1.33,4.9
135,173,6.5,2.85,3.65
19,14,1.45,0.84,0.62
10,20,8.75,2.92,5.83
255,125,6.64,4.46,2.18
24,6,3.26,2.61,0.65
55,62,6.44,3.03,3.41
39,19,7.92,5.33,2.6
X,X,X,X,X
10,7,1.39,0.82,0.57
2,5,6.03,1.72,4.31
2,2,3.7,1.85,1.85
136,49,2.87,2.11,0.76
X,X,X,X,X
21,6,6.67,5.19,1.48
12,26,3.31,1.05,2.26
79,35,2.98,2.07,0.92
27,10,3.77,2.75,1.02
313,496,10.05,3.89,6.16
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
4,1,1.66,1.32,0.33
X,X,X,X,X
13,17,6.52,2.83,3.7
5,0,1.48,1.48,0
393,229,4.77,3.01,1.76
40,7,3.91,3.33,0.58
75,42,7.67,4.92,2.75
X,X,X,X,X
X,X,X,X,X
10,3,3.32,2.55,0.77
9,2,1.39,1.14,0.25
59,21,4.01,2.96,1.05
3,5,2.45,0.92,1.53
16,25,10.43,4.07,6.36
3,0,1.29,1.29,0
49,37,6.76,3.85,2.91
X,X,X,X,X
4,3,1.28,0.73,0.55
0,0,0,0,0
20,20,5.33,2.66,2.66
2,5,2.41,0.69,1.72
52,56,5.89,2.83,3.05
9,20,4.28,1.33,2.95
26,69,5.71,1.56,4.15
4,9,7.1,2.19,4.92
60,15,5.63,4.5,1.13
4,8,5.38,1.79,3.59
155,55,14.15,10.44,3.71
X,X,X,X,X
X,X,X,X,X
12,16,2.7,1.16,1.54
49,161,5.67,1.32,4.35
82,109,4.42,1.9,2.52
20,9,1.34,0.92,0.41
0,18,6.77,0,6.77
128,59,3.68,2.52,1.16
24,11,4.2,2.88,1.32
41,35,4.29,2.32,1.98
25,17,6.87,4.09,2.78
X,X,X,X,X
15,2,1.45,1.28,0.17
1,1,2.3,1.15,1.15
5,4,10,5.56,4.44
113,23,2.27,1.88,0.38
X,X,X,X,X
18,6,6.42,4.81,1.6
8,18,2.38,0.73,1.65
83,50,3.74,2.34,1.41
13,4,1.84,1.41,0.43
210,356,7.81,2.9,4.92
1,0,9.09,9.09,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
8,1,2.54,2.26,0.28
X,X,X,X,X
2,15,5,0.59,4.41
0,3,0.9,0,0.9
314,202,4.15,2.52,1.62
25,4,2.38,2.05,0.33
89,33,8.16,5.95,2.21
X,X,X,X,X
X,X,X,X,X
6,2,2.14,1.6,0.53
5,1,0.75,0.63,0.13
41,10,3.13,2.51,0.61
14,0,4.58,4.58,0
20,18,9.79,5.15,4.64
1,0,0.36,0.36,0
31,21,4.61,2.75,1.86
X,X,X,X,X
3,4,1.28,0.55,0.73
0,0,0,0,0
17,13,4.43,2.51,1.92
6,5,4.04,2.21,1.84
30,32,3.46,1.67,1.78
8,12,3.05,1.22,1.83
24,63,5.4,1.49,3.91
5,13,8.04,2.23,5.8
43,12,2.54,1.98,0.55
5,6,4.89,2.22,2.67
139,37,11.1,8.76,2.33
X,X,X,X,X
X,X,X,X,X
18,7,1.75,1.26,0.49
53,125,4.74,1.41,3.33
91,74,4.06,2.24,1.82
18,1,0.91,0.87,0.05
